date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:36	3328/3328	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202016%2001:05:24%20GMT	https://premiumlayers.com/html/vcard2/?storefront=envato-elements	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/index04b9.html	(from )
10:34:38	118/118	---MC-	200	added ('OK')	text/plain	date:Tue,%2005%20Jul%202022%2003:32:45%20GMT	https://premiumlayers.com/robots.txt		(from )
10:34:42	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%2262bb26f5-c854%22	http://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/CV_Web/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:44	70808/70808	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:30%20GMT	https://premiumlayers.com/html/vcard2/css/animate.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/animate.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:47	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:34%20GMT	https://premiumlayers.com/html/vcard2/css/font-awesome.min.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/font-awesome.min.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:48	122540/122540	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:34%20GMT	https://premiumlayers.com/html/vcard2/css/bootstrap.min.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/bootstrap.min.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:56	36953/36953	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:36%20GMT	https://premiumlayers.com/html/vcard2/css/style.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/style.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:56	79232/79232	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:36%20GMT	https://premiumlayers.com/html/vcard2/css/main.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/main.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:56	3771/3771	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202016%2001:05:36%20GMT	https://premiumlayers.com/html/vcard2/css/responsive.css	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/css/responsive.css	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
10:34:57	3328/3328	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202016%2001:05:24%20GMT	https://premiumlayers.com/html/vcard2/index.html	C:/My%20Web%20Sites/CV_Web/premiumlayers.com/html/vcard2/index.html	(from https://premiumlayers.com/html/vcard2/?storefront=envato-elements)
